# Accelerometer Data File
# Started @Tue Jan 26 20:13:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
5.123 -2.394 12.421 5
5.286 -2.365 12.315 4
5.43 -2.355 12.449 5
5.64 -2.384 12.469 5
5.87 -2.461 12.392 5
5.985 -2.518 12.248 6
6.071 -2.509 12.085 5
6.196 -2.518 11.712 4
6.33 -2.432 11.482 5
6.426 -2.422 11.003 5
6.579 -2.355 10.697 5
6.703 -2.154 10.39 6
6.675 -1.934 10.141 4
6.579 -1.608 9.998 5
6.416 -1.388 9.959 5
6.215 -1.302 10.007 5
6.033 -1.197 10.228 6
5.822 -1.043 10.601 5
5.439 -1.11 10.936 4
5.104 -1.082 11.386 5
4.711 -1.015 11.875 5
4.481 -0.995 12.267 5
4.213 -1.005 12.612 6
3.849 -1.043 12.746 4
3.734 -1.149 12.727 5
3.629 -1.091 12.603 5
3.639 -1.13 12.315 5
3.572 -1.034 12.057 6
3.629 -0.852 11.722 5
3.687 -0.67 11.377 4
3.84 -0.737 11.08 5
4.089 -0.497 10.888 5
4.165 -0.296 10.553 5
4.146 -0.057 10.477 6
4.012 0.086 10.467 5
3.878 0.296 10.582 4
3.897 0.517 10.812 5
3.888 0.775 11.444 5
3.878 0.871 11.817 5
3.878 0.89 12.095 6
3.801 0.957 12.22 4
3.658 1.082 12.258 5
3.38 1.168 12.172 5
3.026 1.177 12.028 5
2.662 1.264 11.903 6
2.432 1.283 11.731 5
2.26 1.359 11.415 4
1.924 1.398 11.185 5
1.685 1.493 10.936 5
1.551 1.426 10.745 5
1.589 1.379 10.438 6
1.771 1.493 10.208 5
1.982 1.695 10.208 4
2.317 1.963 10.352 5
2.442 2.269 10.381 5
2.681 2.384 10.534 5
3.074 2.413 10.591 6
3.457 2.576 10.649 4
3.62 2.844 10.572 5
3.61 2.997 10.4 5
3.495 3.026 10.122 5
3.323 3.035 9.749 6
2.997 3.045 9.346 5
2.652 3.083 9.136 4
2.317 3.169 8.896 5
1.886 3.236 8.944 5
1.58 3.208 9.021 5
1.254 3.16 9.04 6
0.775 3.179 9.097 5
0.402 3.16 9.002 4
-0.009 3.112 9.03 5
-0.248 3.217 8.848 5
-0.277 3.246 8.887 6
-0.076 3.169 8.858 5
0.44 3.112 8.82 4
0.861 3.112 8.705 5
1.331 3.16 8.513 5
1.656 3.38 8.159 5
1.972 3.524 7.795 6
2.154 3.763 7.393 5
2.25 4.05 6.991 4
2.298 4.405 6.627 5
2.202 4.74 6.473 5
1.79 4.97 6.177 5
1.34 5.228 6.004 6
0.976 5.324 6.062 4
0.459 5.238 6.311 5
0.181 5.008 6.406 5
-0.028 4.797 6.646 6
-0.201 4.606 6.962 5
-0.392 4.252 7.163 5
-0.507 3.945 7.182 4
-0.574 3.658 7.182 5
-0.421 3.505 6.991 5
-0.316 3.409 6.675 5
-0.229 3.38 6.339 6
-0.277 3.591 6.042 5
-0.411 3.84 5.631 4
-0.478 4.223 5.046 5
-0.383 4.548 4.625 5
-0.335 4.836 4.108 5
-0.296 5.171 3.869 6
-0.316 5.487 3.572 4
-0.421 5.861 3.418 5
-0.335 6.1 3.39 5
-0.172 6.138 3.562 5
0.086 6.042 3.667 6
0.277 5.793 3.648 5
0.344 5.525 3.457 4
0.373 5.171 3.303 5
0.44 4.826 2.911 5
0.459 4.443 2.422 5
0.411 4.185 2.087 6
0.287 3.993 1.522 5
0.019 4.022 1.206 4
-0.287 4.232 0.756 5
-0.67 4.414 0.402 5
-1.101 4.769 0.086 5
-1.302 5.027 0.019 6
-1.407 5.267 -0.134 4
-1.398 5.487 -0.239 5
-1.522 5.746 -0.181 5
-1.455 5.87 -0.22 5
-1.398 6.033 -0.181 6
-1.264 6.042 -0.191 5
-1.12 6.071 -0.019 4
-0.871 6.081 -0.028 5
-0.632 5.966 -0.172 5
-0.363 5.908 -0.478 5
-0.047 5.717 -0.699 6
-0.057 5.573 -1.015 4
-0.124 5.554 -1.168 5
-0.172 5.659 -1.187 5
0.335 5.554 -0.766 5
0.383 5.822 -0.928 6
0.335 6.1 -0.938 5
0.248 6.263 -0.89 4
0.095 6.454 -0.938 5
0.028 6.684 -0.928 5
-0.038 7.038 -0.766 5
-0.134 7.278 -0.679 6
-0.392 7.728 -0.517 5
-0.632 7.967 -0.363 4
-0.9 8.216 -0.095 5
-1.158 8.427 -0.105 5
-1.369 8.274 0.143 5
-1.561 8.044 0.268 6
-1.771 7.603 0.344 4
-1.714 7.23 0.373 5
-1.618 6.828 0.45 5
-1.561 6.56 0.45 5
-1.426 6.483 0.469 6
-1.493 6.521 0.612 5
-1.407 6.77 0.938 4
-1.388 6.895 1.197 5
-1.426 7.077 1.283 5
-1.417 7.23 1.618 5
-1.446 7.326 1.972 6
-1.369 7.402 2.557 5
-1.379 7.46 3.141 4
-1.398 7.412 3.495 5
-1.455 7.354 3.792 5
-1.513 7.24 4.252 5
-1.675 7.192 4.788 6
-1.781 7.134 5.161 4
-1.848 7.029 5.736 5
-1.963 7.029 6.177 5
-2.097 7.173 6.521 5
-2.154 7.23 6.924 6
-2.25 7.383 7.489 5
-2.116 7.709 8.379 4
-1.991 7.948 8.753 5
-1.886 8.082 8.638 5
-1.857 8.082 8.398 5
-1.599 7.9 7.967 6
-1.35 7.747 7.402 5
-1.187 7.565 7.038 4
-1.264 7.431 6.291 5
-1.493 7.508 5.736 5
-1.637 7.527 5.152 5
-1.417 7.364 4.817 6
-1.541 7.374 4.472 4
-1.589 7.345 4.07 5
-1.685 7.335 3.648 5
-1.867 7.24 3.351 5
-1.877 7.192 3.16 6
-2.001 7.086 3.035 5
-2.116 7.038 2.92 4
-2.221 6.981 2.815 5
-2.336 6.856 2.595 5
-2.346 6.761 2.442 5
-2.317 6.751 2.269 6
-2.298 6.77 2.116 4
-2.183 6.809 2.097 5
