# Accelerometer Data File
# Started @Tue Jan 26 20:12:48 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.373 5.334 8.073 5
0.421 5.286 8.073 5
0.373 5.353 8.025 5
0.411 5.372 7.958 5
0.363 5.401 7.977 5
0.402 5.449 8.015 5
0.363 5.487 8.025 5
0.363 5.468 8.015 5
0.373 5.449 8.121 5
0.306 5.458 8.245 5
0.287 5.468 8.303 5
0.191 5.382 8.465 5
0.124 5.391 8.552 5
0.114 5.382 8.628 5
0.153 5.353 8.781 5
0.057 5.382 8.772 5
0.038 5.363 8.858 5
0.0 5.343 8.829 5
0.019 5.334 8.848 5
0.038 5.353 8.772 5
0.124 5.343 8.628 5
0.191 5.363 8.494 5
0.22 5.41 8.437 5
0.287 5.401 8.303 5
0.335 5.382 8.303 5
0.402 5.382 8.159 5
0.44 5.372 8.13 5
0.478 5.363 8.073 5
0.507 5.363 8.13 5
0.517 5.363 8.101 5
0.488 5.363 8.159 5
0.411 5.363 8.197 5
0.459 5.286 8.236 5
0.411 5.343 8.236 5
0.344 5.305 8.236 5
0.296 5.295 8.255 5
0.325 5.295 8.283 5
0.316 5.228 8.226 5
0.373 5.228 8.226 5
0.344 5.209 8.169 5
0.363 5.219 8.111 5
0.373 5.2 8.111 5
0.344 5.19 8.063 5
0.383 5.209 8.063 5
0.402 5.181 8.015 5
0.373 5.2 8.054 5
0.392 5.248 7.987 5
0.325 5.219 7.977 5
0.344 5.248 7.948 5
0.354 5.248 7.948 5
0.296 5.181 7.939 5
0.306 5.228 7.91 5
0.325 5.257 7.91 5
0.268 5.286 7.958 5
0.258 5.363 7.977 5
0.22 5.324 8.006 5
0.258 5.334 8.169 5
0.287 5.334 8.283 5
0.268 5.363 8.398 5
0.258 5.372 8.485 5
0.229 5.401 8.475 5
0.239 5.372 8.475 5
0.201 5.372 8.418 5
0.143 5.363 8.37 5
0.172 5.334 8.293 5
0.095 5.363 8.283 5
0.153 5.372 8.149 5
0.143 5.382 8.188 5
0.172 5.391 8.188 5
0.201 5.334 8.14 5
0.22 5.391 8.169 5
0.229 5.41 8.14 5
0.239 5.372 8.197 5
0.22 5.372 8.216 5
0.239 5.458 8.226 5
0.277 5.42 8.226 5
0.248 5.449 8.274 5
0.287 5.458 8.331 5
0.258 5.468 8.37 5
0.287 5.516 8.398 5
0.277 5.487 8.485 5
0.258 5.42 8.485 5
0.181 5.401 8.475 5
0.153 5.382 8.379 5
0.086 5.382 8.389 5
0.067 5.353 8.37 5
0.047 5.363 8.293 5
0.028 5.353 8.322 5
0.057 5.295 8.264 5
0.162 5.315 8.274 5
0.143 5.372 8.264 5
0.143 5.363 8.178 5
0.258 5.372 8.178 5
0.229 5.372 8.274 5
0.277 5.439 8.274 5
0.287 5.401 8.322 5
0.277 5.42 8.341 5
0.239 5.363 8.379 5
0.229 5.372 8.398 5
0.181 5.401 8.418 5
0.21 5.324 8.379 5
0.143 5.286 8.379 5
0.105 5.238 8.283 5
0.067 5.286 8.188 5
0.105 5.257 8.044 5
0.153 5.248 7.987 5
0.181 5.295 7.939 5
0.239 5.238 7.814 5
0.22 5.248 7.843 5
0.248 5.324 7.939 5
0.248 5.353 7.987 5
0.22 5.353 8.121 5
0.248 5.363 8.197 5
0.258 5.305 8.255 5
0.248 5.295 8.36 5
0.134 5.353 8.341 5
0.124 5.391 8.331 5
0.201 5.315 8.398 5
0.143 5.324 8.331 5
0.181 5.276 8.331 5
0.21 5.372 8.322 5
0.229 5.315 8.303 5
0.268 5.353 8.398 5
0.306 5.276 8.303 5
0.277 5.315 8.293 5
0.316 5.334 8.303 5
0.296 5.353 8.264 5
0.287 5.324 8.341 5
0.229 5.305 8.398 5
0.21 5.276 8.36 5
0.239 5.305 8.379 5
0.248 5.315 8.465 5
0.21 5.334 8.35 5
0.239 5.343 8.379 5
0.277 5.372 8.312 5
0.268 5.401 8.293 5
0.287 5.353 8.312 5
0.325 5.382 8.159 5
0.335 5.391 8.073 5
0.354 5.391 8.054 5
0.373 5.439 8.092 5
0.392 5.439 8.044 5
0.43 5.449 7.958 5
0.459 5.449 7.977 5
0.411 5.449 8.054 5
0.411 5.43 8.111 5
0.421 5.41 8.255 5
0.402 5.449 8.283 5
